Category: All categories

Region,energy drink: (9/6/20 - 9/6/25)
Arkansas,100
Iowa,94
Idaho,91
North Dakota,89
South Dakota,86
Nebraska,85
Oklahoma,84
Indiana,82
Utah,80
Texas,79
Missouri,79
Arizona,78
Kansas,78
Montana,77
Alaska,76
Kentucky,76
West Virginia,75
Tennessee,74
Alabama,74
Nevada,72
Mississippi,71
New Mexico,71
Washington,69
Michigan,69
Louisiana,69
Oregon,68
Minnesota,68
Ohio,68
Wisconsin,67
Wyoming,65
Georgia,64
California,63
North Carolina,63
Hawaii,62
Maine,62
Illinois,61
South Carolina,60
Colorado,58
New Hampshire,57
Pennsylvania,57
Florida,56
Virginia,55
Delaware,51
Massachusetts,50
Connecticut,50
Maryland,49
Rhode Island,49
New York,45
New Jersey,42
Vermont,41
District of Columbia,29
