Category: All categories

Region,5 Hour Energy drink: (2016)
Nebraska,100
Utah,85
Mississippi,85
District of Columbia,85
Ohio,71
Kansas,71
South Carolina,71
Virginia,71
Arizona,57
Michigan,57
Nevada,57
Oklahoma,57
Missouri,57
New Jersey,57
Indiana,57
Maryland,57
Kentucky,57
Connecticut,57
Texas,57
North Carolina,57
Georgia,57
Tennessee,42
Massachusetts,42
Pennsylvania,42
Illinois,42
Alabama,42
Florida,42
Washington,42
California,42
Minnesota,42
Louisiana,42
New York,42
Colorado,28
Wisconsin,28
Oregon,28
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Maine,
Idaho,
Iowa,
Hawaii,
Vermont,
Delaware,
Arkansas,
West Virginia,
Wyoming,
