Category: All categories

Region,Red Bull energy drink: (2016)
Maine,100
Nebraska,78
West Virginia,78
Kentucky,64
Utah,57
Iowa,57
Mississippi,50
Arkansas,50
Alabama,50
Kansas,50
Missouri,42
New York,42
Washington,42
Michigan,42
South Carolina,42
Georgia,42
Virginia,42
Maryland,42
Pennsylvania,42
Indiana,42
North Carolina,42
Ohio,42
California,42
Connecticut,35
New Jersey,35
Minnesota,35
Wisconsin,35
Nevada,35
Texas,35
Illinois,35
District of Columbia,35
Colorado,35
Louisiana,35
Arizona,35
Oklahoma,35
Florida,28
Tennessee,28
Massachusetts,28
Oregon,14
Alaska,
Rhode Island,
South Dakota,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Vermont,
Idaho,
Hawaii,
Delaware,
Wyoming,
