Category: All categories

Region,Bang energy drink: (2017)
Nebraska,100
Arizona,64
Iowa,61
Texas,61
North Dakota,58
Nevada,53
Louisiana,51
Idaho,51
Washington,48
Florida,46
California,46
Oregon,46
Arkansas,43
Indiana,41
Kansas,38
South Carolina,38
New Mexico,33
Oklahoma,33
Ohio,33
Missouri,30
North Carolina,30
Michigan,28
Wisconsin,28
Illinois,25
Alabama,23
Colorado,20
Kentucky,20
Minnesota,20
Tennessee,20
Utah,20
Georgia,20
Maryland,17
Connecticut,17
Virginia,17
New York,12
Pennsylvania,12
Massachusetts,12
District of Columbia,12
New Jersey,10
Alaska,
Rhode Island,
South Dakota,
New Hampshire,
Montana,
Mississippi,
Maine,
Vermont,
Hawaii,
Delaware,
West Virginia,
Wyoming,
