Category: All categories

Region,Rockstar energy drink: (2019)
Oregon,100
Utah,100
Wyoming,96
New Mexico,77
Idaho,74
Washington,74
Nevada,62
North Dakota,55
Arizona,44
Iowa,44
California,40
Indiana,40
Missouri,40
Wisconsin,37
Maine,37
Michigan,37
Minnesota,33
West Virginia,33
Colorado,33
Arkansas,33
New Hampshire,33
Nebraska,33
Oklahoma,33
Illinois,29
Hawaii,29
Kansas,29
Ohio,29
Florida,25
Kentucky,25
Tennessee,25
Virginia,25
Connecticut,25
Pennsylvania,25
Texas,22
North Carolina,18
Louisiana,18
South Carolina,18
New York,18
Georgia,18
Alabama,18
Maryland,18
Massachusetts,18
New Jersey,14
Mississippi,
South Dakota,
Rhode Island,
Vermont,
Montana,
Delaware,
District of Columbia,
Alaska,
