Category: All categories

Region,Monster energy drink: (2020)
West Virginia,100
Idaho,91
Nebraska,87
Utah,81
Iowa,81
Oklahoma,79
Arkansas,79
Indiana,77
Kentucky,75
North Dakota,75
Missouri,73
New Mexico,73
Ohio,71
South Dakota,71
Alabama,69
Kansas,69
Tennessee,67
Arizona,67
New Hampshire,67
Michigan,65
Nevada,65
Illinois,65
Wisconsin,65
Oregon,63
North Carolina,63
Minnesota,63
Mississippi,61
Washington,61
Montana,61
Louisiana,59
Alaska,59
Georgia,59
Texas,59
Virginia,57
Connecticut,55
Pennsylvania,55
Colorado,53
Maryland,51
South Carolina,51
Florida,51
Maine,48
Hawaii,46
California,46
New York,44
Rhode Island,42
Massachusetts,42
Vermont,40
Wyoming,40
New Jersey,40
Delaware,36
District of Columbia,18
