Category: All categories

Region,Celsius Energy Drink: (2022)
Nebraska,100
New Hampshire,96
Arizona,96
Alabama,93
Connecticut,93
South Dakota,90
Kansas,90
Oklahoma,90
Michigan,90
South Carolina,87
Iowa,87
Texas,87
Delaware,87
Georgia,87
District of Columbia,87
Minnesota,87
Florida,84
Massachusetts,84
North Dakota,84
Tennessee,84
Maine,81
Hawaii,78
Maryland,78
Virginia,78
Missouri,75
Arkansas,75
Louisiana,75
California,75
New Jersey,75
West Virginia,75
Colorado,75
Ohio,71
North Carolina,71
Nevada,71
Illinois,68
New York,68
Pennsylvania,68
Rhode Island,65
New Mexico,65
Indiana,65
Wisconsin,65
Wyoming,62
Idaho,62
Utah,59
Mississippi,59
Oregon,59
Washington,56
Kentucky,53
Montana,43
Vermont,
Alaska,
