Category: All categories

Region,Rockstar energy drink: (2015)
Nevada,100
Alaska,95
Utah,95
New Mexico,95
Washington,87
New Hampshire,83
Oregon,83
Idaho,79
Arizona,75
Iowa,66
Colorado,58
California,58
Hawaii,54
Indiana,50
Minnesota,50
Nebraska,50
Michigan,45
Pennsylvania,45
Oklahoma,45
Texas,41
Wisconsin,37
Ohio,37
Georgia,37
District of Columbia,37
Massachusetts,33
Illinois,33
Tennessee,33
Arkansas,33
Missouri,33
Connecticut,29
Florida,29
North Carolina,29
South Carolina,29
Alabama,29
New Jersey,25
Kentucky,25
New York,25
Kansas,20
Virginia,20
Maryland,20
Mississippi,
South Dakota,
Rhode Island,
North Dakota,
Montana,
Maine,
Vermont,
Louisiana,
Delaware,
West Virginia,
Wyoming,
