Category: All categories

Region,5 Hour Energy drink: (2019)
Utah,100
Iowa,100
Oklahoma,100
Kentucky,83
Louisiana,83
Tennessee,83
Nebraska,83
Arizona,83
Pennsylvania,83
Minnesota,66
Virginia,66
Michigan,66
Maryland,66
Oregon,66
Georgia,66
Indiana,66
Ohio,66
Texas,66
Missouri,66
Illinois,66
Washington,66
Wisconsin,50
Kansas,50
Florida,50
California,50
New Jersey,50
North Carolina,50
Massachusetts,50
Colorado,50
New York,50
Alabama,50
Nevada,50
South Carolina,50
Connecticut,33
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Maine,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
