Category: All categories

Region,Celsius Energy Drink: (2019)
Oklahoma,100
New Hampshire,100
Texas,87
Florida,75
Arizona,75
Nevada,62
Alabama,62
California,62
Kansas,62
Massachusetts,62
Minnesota,62
Georgia,50
Mississippi,50
North Carolina,50
Virginia,50
Louisiana,50
Tennessee,50
Connecticut,50
Maryland,50
Iowa,37
Illinois,37
Colorado,37
New York,37
Michigan,37
Wisconsin,37
Ohio,37
South Carolina,25
New Jersey,25
Oregon,25
Washington,25
Pennsylvania,25
Indiana,12
Alaska,
New Mexico,
Nebraska,
North Dakota,
Montana,
Missouri,
Maine,
Rhode Island,
Kentucky,
South Dakota,
Idaho,
Hawaii,
Utah,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
