Category: All categories

Region,Red Bull energy drink: (2019)
South Dakota,100
Alaska,70
Washington,45
West Virginia,45
Utah,41
Nevada,37
Minnesota,37
Arizona,37
Louisiana,37
Idaho,33
Tennessee,33
Connecticut,33
New Hampshire,33
Arkansas,33
Wisconsin,33
New Mexico,33
Texas,33
Nebraska,29
Michigan,29
Indiana,29
Oklahoma,29
Missouri,29
District of Columbia,29
Iowa,29
Virginia,29
Ohio,29
Oregon,29
North Carolina,29
Colorado,25
South Carolina,25
Kentucky,25
New York,25
Kansas,25
New Jersey,25
Georgia,25
Pennsylvania,25
California,25
Illinois,25
Florida,25
Alabama,25
Maryland,20
Massachusetts,20
Mississippi,16
Rhode Island,
North Dakota,
Montana,
Vermont,
Maine,
Hawaii,
Delaware,
Wyoming,
