Category: All categories

Region,Bang energy drink: (2021)
Alabama,100
Nebraska,98
North Dakota,97
Kentucky,93
Arkansas,91
West Virginia,88
Iowa,86
Indiana,86
Texas,82
Kansas,81
Vermont,81
Alaska,81
South Carolina,79
North Carolina,79
Tennessee,79
Idaho,79
Rhode Island,78
Ohio,78
Arizona,77
Oklahoma,75
New Mexico,75
Louisiana,74
Illinois,74
Mississippi,74
Missouri,74
Pennsylvania,73
Nevada,73
Wisconsin,73
Utah,73
Minnesota,72
Delaware,72
Virginia,70
Connecticut,70
Michigan,69
New Hampshire,67
Georgia,67
South Dakota,65
Hawaii,65
California,64
Maryland,63
Maine,60
Oregon,60
Florida,60
Montana,59
Washington,56
Colorado,56
Massachusetts,55
New Jersey,54
New York,46
Wyoming,45
District of Columbia,44
