Category: All categories

Region,C4 Energy Drink: (2023)
Oklahoma,100
Iowa,100
Mississippi,94
Texas,92
Louisiana,86
Kentucky,86
Missouri,86
Kansas,84
Nebraska,84
Indiana,84
Ohio,81
Minnesota,81
Rhode Island,78
Tennessee,76
Illinois,73
Wisconsin,73
South Dakota,73
Alabama,73
North Dakota,71
Arizona,71
West Virginia,71
Delaware,71
Michigan,71
Arkansas,68
Vermont,65
South Carolina,65
New Hampshire,65
Pennsylvania,63
Georgia,60
Massachusetts,60
Connecticut,60
Idaho,60
Nevada,60
New Mexico,60
New York,60
Maryland,57
Florida,57
New Jersey,57
Montana,57
Utah,57
California,55
North Carolina,52
Maine,52
Oregon,52
Washington,50
Wyoming,50
Alaska,50
Virginia,47
Colorado,42
Hawaii,42
District of Columbia,31
