Category: All categories

Region,Monster energy drink: (2025)
West Virginia,100
Nebraska,91
Utah,89
Idaho,80
Montana,77
South Dakota,73
Iowa,72
Arizona,72
North Dakota,70
Kansas,70
Oklahoma,69
Indiana,68
New Mexico,66
Missouri,64
Kentucky,63
Nevada,61
Alabama,61
Mississippi,60
Louisiana,58
Arkansas,58
Washington,58
Ohio,57
Michigan,56
Hawaii,55
Oregon,55
South Carolina,54
Tennessee,54
Minnesota,53
Texas,53
Georgia,53
Wisconsin,52
Virginia,52
Maine,51
Illinois,51
North Carolina,48
Colorado,48
Vermont,47
Pennsylvania,45
Alaska,45
California,44
Florida,43
New Hampshire,42
Maryland,41
New York,40
Connecticut,39
Delaware,36
New Jersey,34
Massachusetts,33
Rhode Island,33
District of Columbia,15
Wyoming,1
